"SYMBOL","LPS_logFC","LPS_adjP","Sepsis_logFC","Sepsis_adjP","direction_pair","candidate_score"
"AIM2",9.82301701038318,0.000111744167592789,1.63331454834106,3.96753478155635e-22,"Up in both",13.9916569979834
"SPATC1",7.61366621871711,0.000137542768336734,2.49570659872404,2.00528059092405e-22,"Up in both",12.6653115262925
"TNFAIP6",8.25616380275255,3.56396731860253e-05,1.76404934217194,2.77832981008056e-16,"Up in both",12.0206413937612
"IFITM1",8.04550746737433,0.000607690800273325,1.46713998082495,6.43908691932999e-22,"Up in both",11.9533967532761
"ANKRD22",6.55969703542042,0.000413805431756206,2.84143841201355,1.31468275222634e-22,"Up in both",11.9275737321957
"IFI27",9.06334999033365,9.14279790172968e-05,1.70647854322098,8.24914770062059e-08,"Up in both",11.8820797135899
"FFAR3",7.41590707957797,0.000290267594216602,2.39227939310052,5.76030884328861e-17,"Up in both",11.7858620404273
"IL1B",9.76611270530344,3.56396731860253e-05,0.760703741239951,1.29196348713576e-07,"Up in both",11.6604980512503
"CLEC4D",6.92493843730341,8.92287755052872e-05,2.54431369146318,2.73785445118875e-18,"Up in both",11.6304605997894
"APOBEC3A",8.92821578993007,0.000290700318234754,0.829431330026039,2.31542223172296e-15,"Up in both",11.574839549347
"UPB1",8.30934887727077,0.00150554977499875,1.38220341319955,9.62362903713089e-14,"Up in both",11.2754488912535
"SOCS3",6.75352001265872,0.000143599316237228,1.96963311377899,3.17177054586286e-22,"Up in both",11.2573077130615
"TNFSF10",8.34672651380435,0.000292471467839206,0.83758858228431,1.56359822783462e-17,"Up in both",11.2182942286623
"CCM2L",8.76143750073713,0.000270592471370421,1.02286096518497,1.58404411433417e-10,"Up in both",11.1210901677894
"S100A12",5.39887246900212,0.00040369736534209,3.11325161814901,2.01045263351417e-21,"Up in both",10.9211891110903
"IL27",6.85734651070078,0.00293004346198692,1.68942264503737,6.50603751098142e-22,"Up in both",10.9187500932087
"EBI3",8.88481408871614,0.000175636841531771,1.04879045982736,5.70478195041536e-05,"Up in both",10.7335190817467
"SLC1A2",8.63301766671699,2.61800960583335e-05,0.781002631465027,9.4070892504775e-09,"Up in both",10.674877648167
"JAK3",7.10472422200862,3.56396731860253e-05,0.982032925714158,1.24106524239779e-21,"Up in both",10.6221843151484
"FPR2",7.49484898271029,2.66986556349156e-05,0.897748699000272,1.53131696801127e-14,"Up in both",10.2314422328525
"G0S2",5.89842526080608,0.000727313637593355,2.09725684249494,1.90462929153608e-17,"Up in both",9.98152888429491
"SERPINB2",7.24976904565753,0.000202014278997155,1.12160719098099,1.94392954993865e-11,"Up in both",9.81196997769853
