"","donor 1_unstim","donor 1_LPS","donor 2_unstim","donor 2_LPS","donor 3_unstim","donor 3_LPS","donor 4_unstim","donor 4_LPS"
"ENSG00000223972",0,0,0,3.366,13.2141,6.8179,6.3486,3.9556
"ENSG00000227232",109.2604,58.1051,30.4793,32.8737,21.9089,2.6623,42.6516,23.3038
"ENSG00000278267",0,0,0,0,0,0,0,0
"ENSG00000243485",0,0,0,0,0,0,0,0
"ENSG00000284332",0,0,0,0,0,0,0,0
"ENSG00000237613",0,0,0,0,0,0,0,0
"ENSG00000268020",0,0,1,0,0,0,0,0
"ENSG00000240361",0,0,3,0,0,0,0,0
"ENSG00000186092",0,0,0,0.6667,0,0,0,0
"ENSG00000238009",129.6635,87.9865,101.9374,115.889,70.5452,63.6262,27.4485,69.2959
"ENSG00000239945",10.3129,7.3825,5.9022,0,5.2904e-09,10.2775,16.863,1.3416e-14
"ENSG00000233750",70.1405,2.6416,35.5373,7.4153,35.3214,26.4352,28.6044,1.7199
"ENSG00000268903",160.2107,18.8411,76.0985,22.5314,150.2641,23.7155,37.5393,7.5141
"ENSG00000269981",28.9861,2.27,11.1341,1.5751,38.6668,16.2733,17.3989,1.3275
"ENSG00000239906",236.9448,52.6422,116.9871,48,131.7523,114.6905,36,22
"ENSG00000241860",234.0601,49.6989,120.0326,38.836,126.4994,70.4483,48.6933,24.4516
"ENSG00000222623",0,0,0,0,0,0,0,0
"ENSG00000241599",24.8887,2,8,1,13,2,2,3
"ENSG00000279928",0,0,0,0,0,0,0,0
"ENSG00000279457",367.8229,435.4272,305.601,374.524,406.9045,399.5887,342.4756,442.2566
"ENSG00000273874",0,0,0,0,0,0,0,0
"ENSG00000228463",137.8594,69.2595,83.8303,50,111.7666,102,60.2411,32.0366
"ENSG00000236679",0,0,0,0,0.557,0,0,0
"ENSG00000236601",0,0,0,0,0,0,0,0
"ENSG00000237094",163.0895,31.3056,63.3626,44.3861,98.5645,69.7697,41.9579,18.8419
"ENSG00000269732",1,0,0,0,0,0,0,0
"ENSG00000284733",0.75,0,0.25,0,0,0,1,0.3333
"ENSG00000233653",0,0,0,0,0,1.4013e-44,0,0
"ENSG00000250575",86.8734,8.2279,62.8928,28.1792,123.9181,72.3206,16.6696,44.0857
"ENSG00000278757",0,0,0,0,0,0,0,0
"ENSG00000230021",16.4428,1.1219,0.6399,1.2799e-24,1,1.3502e-34,0,1
"ENSG00000235146",0,0,0,0,0,0,0,0
"ENSG00000225972",4,0,3,0,3,0,0,0
"ENSG00000225630",509,175,469,142,532,168,671,196
"ENSG00000237973",34,20,24,19,48,37,23,22
"ENSG00000278791",0,0,0,0,0,0,0,0
"ENSG00000229344",0,0,0,0,3,2,0,0
"ENSG00000240409",0,0,1,0,0,0,0,0
"ENSG00000248527",5481,2135,3748,1665,6033,3129,4509,1933
"ENSG00000198744",1,0,2,1,1,1,1,0
"ENSG00000268663",0,0,0,0,0,0,0,0
"ENSG00000284662",0.75,0,0.25,0,0,0,1,0.3333
"ENSG00000229376",18.3414,7.9264,0,2,10.9799,18.8746,0,5.1766
"ENSG00000228327",572.42,439.0795,321.4624,298.2444,632.1058,483.1216,337.719,297.5088
"ENSG00000223181",0,0,0,0,0,0,0,0
"ENSG00000229905",3.1113,1,3,0,2,3,0,0
"ENSG00000237491",74.1432,72.0281,47.43,32.7884,26.0103,28.6563,17.9077,11.5325
"ENSG00000285268",0,0,0,0,0,0,0,0
"ENSG00000230092",1,2.4578,8.041,4.1856,3.9492,0,4.4566,3.5037
"ENSG00000177757",60.1787,32.3663,20.0911,43.9666,19.0508,24.9862,10.5434,10.511
"ENSG00000228794",343.0414,86.3378,207.631,82.5426,301.9134,108.2394,286.1792,139
"ENSG00000225880",49.7464,60,39.753,36.8828,62.662,71.7726,31.9294,27
"ENSG00000230368",7,3.4036,4,5,3,3,3,0
"ENSG00000234711",0,0,0,0,0,0,0,0
"ENSG00000283040",0,0,0,0,0,0,0,0
"ENSG00000272438",1,0,0,0,0,0,0,0
"ENSG00000230699",4,4,5,1,2,2,3,3
"ENSG00000241180",0,0,0,0,0,0,0,0
"ENSG00000223764",11,3,16,0,5,0,2,5
"ENSG00000187634",14.6706,2,47.2627,9.3191,15.7199,1.1878,3,0
"ENSG00000188976",2082.3115,913,1636.7307,672.6809,2402.2803,838.8121,2363,995.9806
"ENSG00000187961",132,103,102,81,109,92,71,89
"ENSG00000187583",23,430,37,258,16,74,11,114
"ENSG00000187642",7,78,11,71,3,14,4,15
"ENSG00000272512",0,66,0,26,0,0,0,1
"ENSG00000188290",11,1274,10,592,70,40,19,39
"ENSG00000187608",297,50920,327,47391,330,4365,315,13326
"ENSG00000231702",0,1,0,0,0,0,0,0
"ENSG00000224969",0,3,3,0,0,0,0,0
"ENSG00000188157",11449.001,31375,9025.999,26601.0039,9103,19460,7371,27712.998
"ENSG00000242590",0,0,0,0,0,0,0,0
"ENSG00000217801",43,29,30.8414,14,12,4,9,15
"ENSG00000273443",13,17,5.1586,4,2,0,2,1
"ENSG00000237330",7,0,0,3,2,0,0,0
"ENSG00000131591",286,166,169,131,238,159,176,146
"ENSG00000285812",10,9,1,9,2,3,4,0
"ENSG00000223823",0,0,0,0,0,0,0,0
"ENSG00000207730",0,0,0,0,0,0,0,0
"ENSG00000207607",0,0,0,0,0,0,0,0
"ENSG00000198976",0,0,0,0,0,0,0,0
"ENSG00000272141",0,0,0,0,0,0,0,0
"ENSG00000205231",0,0,0,0,0,0,0,0
"ENSG00000162571",1,2,0,0,0,0,0,0
"ENSG00000186891",327,445,276,296,412,287,301,283
"ENSG00000186827",153,630,127,376,163,300,105,446
"ENSG00000078808",8973,7084.0005,6623,5336,11563,11233,8798.001,9723.001
"ENSG00000176022",1153,500,851,382,1197,410,1156,427
"ENSG00000184163",5,11,8,2,2,6,0,4
"ENSG00000260179",4,2,6,7,7,9,3,0
"ENSG00000160087",1253,732,947.0001,551.9999,1365.0001,808.0001,1206,974.9999
"ENSG00000230415",3,0,0,1,0,1,3,1
"ENSG00000162572",20,7,9,8,11,2,11,7
"ENSG00000131584",1394.3566,460.2802,1242.4017,490.2405,1310.306,588.3194,1034.9999,416
"ENSG00000278073",0,0,0,0,0,0,0,0
"ENSG00000169972",333.6433,74.7197,286.5982,92.7594,286.6939,116.6806,260,93
"ENSG00000127054",1426,1118,1098,849,1572.9999,943,1351,1003.9999
"ENSG00000283712",0,0,0,0,0,0,0,0
"ENSG00000240731",10,5,2,0,7,6,4,3
"ENSG00000224051",866,335,631,349,827,395,802,394
"ENSG00000169962",20,10,24,22,10,8,11,5
"ENSG00000107404",1101,493,1363,632,1218,535,1278.0001,659
"ENSG00000284372",0,0,0,0,0,0,0,0
"ENSG00000162576",145,98,73,91,79,68,79,55
"ENSG00000175756",2226.9998,1070,1946,1060,2381.9998,1300,2369.9998,1668.0001
"ENSG00000223663",0,0,0,1,2,0,0,2
"ENSG00000221978",2680.9995,1925.0001,1698.0219,1552,1976,1926.0001,1286,1032
"ENSG00000224870",427.6568,365.4573,299.316,327.1906,328.7666,321.5194,342.4926,379.1785
"ENSG00000242485",605.3431,373.5427,568.684,361.8094,670.2335,298.4806,532.5074,265.8215
"ENSG00000264293",0,0,0,0,0,0,0,0
"ENSG00000272455",27,34,36,18,42,16,26,16
"ENSG00000235098",4,5.1268,8,0,1,0,7,4
"ENSG00000225905",0,0,1,0,0,0,0,0
"ENSG00000205116",0,0,0,0,0,0,0,0
"ENSG00000225285",1,0,4,5,0,4,0,0
"ENSG00000179403",13,14,233,138,8,9,6,15
"ENSG00000215915",10.7712,6.1615,12.158,2.0225,9.9304,0,5.3929,2.0166
"ENSG00000160072",663.6095,340.5883,656.3363,287.0916,601.1766,141.6936,1031.1302,172.3672
"ENSG00000284740",3.4232,0,0,1,1.1982,0,1.672,0
"ENSG00000197785",720.1981,235.2502,903.5058,273.886,1230.6948,214.384,1170.8054,183.6161
"ENSG00000205090",1,2,0,4,6,2,4,3
"ENSG00000160075",3059,1790.0001,2307,1384.9999,2661,1601,2476,2148
"ENSG00000215014",39,17,35,17,55,57,43,70
"ENSG00000274481",0,0,0,0,0,0,0,0
"ENSG00000228594",1017,220,746,131,850,105,824,200
"ENSG00000272106",178.7878,88.5377,78.5294,51.3165,129.2229,63.8442,106.3533,85.258
"ENSG00000197530",545.2122,435.4623,424.4706,330.6835,523.7772,555.1558,445.6467,727.7421
"ENSG00000189409",5,9,5,12,0,1,0,1
"ENSG00000248333",946.6506,1046.3136,650.7133,858.7048,1003.5939,1155.1378,839.8056,1189.8264
"ENSG00000272004",2.3698,0,0,0,1.1568,0,0,0
"ENSG00000189339",2392.4888,1899.1799,1271.2634,1135.1411,1540.9016,3166.5818,1239.8871,2848.1011
"ENSG00000269737",39.6535,61.2424,18.3697,49.2851,28.7579,51.7188,39.4917,49.0348
"ENSG00000215914",0,0,0,0,0,0,0,0
"ENSG00000008128",255.7164,418.5608,395.0616,581.304,588.4716,686.7274,479.0337,595.0876
"ENSG00000268575",130.0795,110.3935,112.6395,100.2187,60.0017,129.1459,53.7342,96.6959
"ENSG00000227775",8.2046e-19,1.1012,6.3725,2,17.8467,6.3556,19.7966,41.5876
"ENSG00000215790",287.7626,204.2088,488.58,485.3465,293.2699,663.3326,206.2511,367.6082
"ENSG00000008130",4063.9998,12074,3787.0005,13041,5428.0005,6865.0005,4346.0005,9882
"ENSG00000078369",12997.999,9943,10098.999,8719,13058.001,11342.999,12213.001,13055.999
"ENSG00000231050",15,13,6,3,5,3,6,4
"ENSG00000169885",1,0,3,0,2,0,2,0
"ENSG00000178821",13,0,6,0,3,0,6,0
"ENSG00000142609",1,0,0,0,0,0,0,0
"ENSG00000233542",1,0,0,0,0,0,0,0
"ENSG00000187730",0,0,0,0,0,0,0,0
"ENSG00000226969",0,0,0,0,0,0,0,0
"ENSG00000067606",2.076,4.5962,14.9204,6.8315,2,3,10.5472,4
"ENSG00000271806",1,0,0,0,0,1,1,0
"ENSG00000182873",0,3,2,0,2,0,2,2
"ENSG00000162585",792.9344,467.9438,545.0796,345.1924,757.9999,705,616.4528,865.0314
"ENSG00000234396",0,0,0,0,0,0,0,0
"ENSG00000157933",2664,585,1790,596,1608,1506,2070,2439
"ENSG00000116151",187,60,111,42,157,58,126,70
"ENSG00000272161",0,0,0,0,0,0,0,0
"ENSG00000269896",24,7,13,1,12,5,26,2
"ENSG00000272420",2,0,0,0,0,3,1,0
"ENSG00000157916",2935.9346,1694.5222,2394.002,1545.3092,3366.3342,2519.041,2909.9541,2586.7917
"ENSG00000157911",826.0656,221.4778,568.9982,191.6909,737.6659,197.9591,718.0458,194.2081
"ENSG00000149527",23,14,10,15,15,10,12,18
"ENSG00000224387",0,0,0,0,0,0,0,0
"ENSG00000229393",0,0,0,0,0,0,0,0
"ENSG00000157881",715,575,511,419.0001,627.0001,508,579.9999,601
"ENSG00000197921",1,0,1,0,1,0,1,0
"ENSG00000272449",86,41,60,42,90,42,73,34
"ENSG00000238164",1715.8795,731.1088,771.7676,500.4115,1081.4094,254.7475,691.9305,234.6591
"ENSG00000157873",5597.1211,4650.8911,3415.2324,3309.5884,5533.5903,2638.2522,4183.0698,2540.3413
"ENSG00000225931",12,8,2,4,5,7,5,2
"ENSG00000228037",7,4,4,1,2,5,2,3
"ENSG00000157870",4778.4805,486,2174.9814,357,3966.3843,509.9935,2044.0585,502.0463
"ENSG00000142606",73.5191,2,4.0186,0,15.6158,1.0064,17.9415,9.9537
"ENSG00000237058",0,0,0,0,0,0,0,0
"ENSG00000215912",92,110,93,81,98,65,54,63
"ENSG00000285945",0,0,0,0,0,0,0,0
